SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
F,INACTIVO,0.991427,19.658855,4.180897,0.0,263,1.0,,,,,
F,INACTIVO,0.608418,16.198881,4.256858,0.0,264,1.0,,,,,
F,ACTIVO,0.907834,11.79863,4.163842,0.0,265,0.0,,,,,
F,ACTIVO,0.997639,13.291318,4.292887,0.0,266,0.0,,,,,
F,ACTIVO,0.969342,8.860571,4.142857,0.0,267,0.0,,,,,
M,ACTIVO,0.997958,13.471122,4.122727,0.0,268,1.0,,,,,
F,ACTIVO,0.965566,10.158058,4.301573,0.0,269,0.0,38.0,43.0,48.0,36.0,42.0
F,INACTIVO,0.734508,16.698343,4.384673,0.0,270,0.0,,,,,
F,INACTIVO,0.0,7.392612,0.0,0.0,271,1.0,,,,,
F,INACTIVO,0.598778,13.557338,4.234694,0.0,272,1.0,,,,,
F,INACTIVO,0.51684,2.806074,3.785714,895.692308,273,1.0,,,,,
M,INACTIVO,0.66485,3.346491,4.485714,0.0,274,1.0,,,,,
M,INACTIVO,0.34375,5248.665163,4.092437,0.0,275,0.0,,,,,
M,ACTIVO,0.874508,10.64801,4.181538,0.0,276,0.0,34.0,43.0,35.0,39.0,37.0
M,INACTIVO,0.433935,557.394722,4.3,0.0,277,1.0,,,,,
F,ACTIVO,0.910926,9.947589,4.156637,0.0,278,0.0,,,,,
M,ACTIVO,0.96595,14.067087,4.377029,0.0,279,0.0,33.0,44.0,43.0,39.0,38.0
F,INACTIVO,0.545404,12.619401,4.09,0.0,280,0.0,,,,,
F,INACTIVO,0.816252,12.146392,4.10989,0.0,281,0.0,,,,,
F,ACTIVO,0.919446,10.857582,4.364537,0.0,282,0.0,36.0,47.0,42.0,40.0,42.0
F,ACTIVO,0.988649,13.201277,4.367769,0.0,283,0.0,,,,,
M,INACTIVO,0.756656,2.318786,3.583333,703.639175,284,1.0,,,,,
M,ACTIVO,0.528065,1.48955,3.777778,898.277778,285,0.0,,,,,
M,ACTIVO,0.93672,2.36049,4.360996,384.259398,286,0.0,33.0,48.0,44.0,40.0,43.0
M,INACTIVO,0.785181,2.563544,4.215686,637.223301,287,1.0,,,,,
M,ACTIVO,0.999361,11.707945,4.177715,0.0,288,1.0,,,,,
F,ACTIVO,0.958099,12.03424,4.367465,0.0,289,1.0,,,,,
F,INACTIVO,0.653796,8.874864,4.444444,0.0,290,1.0,,,,,
F,ACTIVO,0.244649,14.821492,4.185185,0.0,291,0.0,,,,,
M,INACTIVO,0.982153,1.578947,4.833333,509.526316,292,1.0,,,,,
F,INACTIVO,0.918698,2.364024,3.325397,516.05946,293,1.0,,,,,
M,INACTIVO,0.740211,11.900013,4.273874,0.0,294,0.0,,,,,
F,INACTIVO,0.643056,1.587302,4.142857,860.162162,295,1.0,,,,,
F,ACTIVO,0.892949,2.195209,3.847059,1129.244444,296,1.0,,,,,
M,ACTIVO,0.987158,1.815927,4.296703,733.148649,297,1.0,,,,,
M,INACTIVO,0.692209,0.0,2.306452,0.0,298,1.0,,,,,
F,ACTIVO,0.904683,13.90636,4.17024,0.0,299,0.0,,,,,
M,ACTIVO,0.996736,10.548789,4.21259,0.0,300,0.0,,,,,
F,ACTIVO,0.94053,12.851631,4.510476,0.0,301,0.0,,,,,
M,ACTIVO,0.799024,9.793379,4.013216,0.0,302,1.0,,,,,
F,INACTIVO,1.0,13.663777,3.8,0.0,303,0.0,,,,,
M,INACTIVO,0.115769,6.456761,4.7,0.0,304,0.0,,,,,
F,ACTIVO,0.988042,8.21794,4.456712,0.0,305,0.0,,,,,
M,ACTIVO,0.980427,11.787457,4.289661,0.0,306,0.0,,,,,
F,ACTIVO,0.922747,12.063306,4.235207,0.0,307,0.0,24.0,34.0,34.0,31.0,33.0
M,ACTIVO,0.926019,14.635505,4.408794,0.0,308,0.0,,,,,
F,INACTIVO,0.209554,12.669602,3.925,0.0,309,0.0,,,,,
F,ACTIVO,0.665106,1.908135,4.173913,633.309091,310,0.0,,,,,
F,ACTIVO,0.89311,2.450036,4.195946,597.594684,311,1.0,3.0,17.0,9.0,12.0,11.0
M,INACTIVO,0.676294,5.55616,4.5,0.0,312,0.0,,,,,
F,ACTIVO,0.999969,16.364258,4.379052,0.0,313,0.0,30.0,50.0,50.0,21.0,44.0
F,INACTIVO,0.875121,31.543352,4.465753,0.0,314,0.0,,,,,
F,ACTIVO,0.940569,8.857828,4.183333,0.0,315,0.0,36.0,50.0,43.0,35.0,40.0
F,ACTIVO,0.951763,13.00268,4.287605,0.0,316,0.0,,,,,
F,INACTIVO,0.647696,11.017033,4.274286,0.0,317,1.0,,,,,
F,ACTIVO,0.946765,11.922184,4.166667,0.0,318,0.0,,,,,
M,INACTIVO,0.683278,2.232292,2.857143,670.964286,319,1.0,,,,,
F,ACTIVO,0.999718,6.599517,4.198718,0.0,320,0.0,,,,,
F,ACTIVO,0.966635,1.660306,4.283951,856.255605,321,1.0,,,,,
F,INACTIVO,0.0,0.0,0.0,0.0,322,0.0,,,,,
M,ACTIVO,0.898031,2.333149,4.409091,477.653226,323,0.0,,,,,
M,ACTIVO,0.972003,11.719729,4.404255,0.0,324,0.0,,,,,
M,INACTIVO,0.072009,20.894958,4.114286,0.0,325,1.0,,,,,
F,INACTIVO,0.591104,22.035254,4.213457,0.0,326,1.0,,,,,
F,ACTIVO,0.887377,7.127384,4.123457,655.015152,327,0.0,,,,,
M,INACTIVO,0.607792,15.176057,4.114035,0.0,328,0.0,,,,,
M,INACTIVO,0.777274,7.821246,4.028986,0.0,329,0.0,,,,,
F,INACTIVO,0.939282,3.518287,4.601852,0.0,330,0.0,,,,,
M,INACTIVO,0.699694,9.803514,4.4,0.0,331,1.0,,,,,
M,INACTIVO,0.999198,0.0,4.545455,0.0,332,1.0,,,,,
F,INACTIVO,0.667667,8.674261,3.545455,0.0,333,0.0,,,,,
M,ACTIVO,0.989187,10.504352,2.971897,0.0,334,0.0,,,,,
F,ACTIVO,0.948796,10.78004,3.54908,0.0,335,0.0,,,,,
M,ACTIVO,0.39088,9.34835,3.692308,0.0,336,0.0,,,,,
M,ACTIVO,0.0,60.701712,0.0,0.0,337,1.0,41.0,43.0,46.0,33.0,44.0
F,ACTIVO,0.994282,24.457466,3.726755,0.0,338,0.0,,,,,
M,ACTIVO,0.814001,14.035407,4.344969,0.0,339,0.0,,,,,
F,ACTIVO,0.875938,2.123079,4.121212,768.660099,340,1.0,32.0,43.0,40.0,38.0,42.0
F,ACTIVO,0.718816,1.842931,4.333333,446.269608,341,0.0,,,,,
M,ACTIVO,0.0,0.35267,0.0,0.0,342,1.0,,,,,
M,INACTIVO,0.907458,6.038751,3.586207,0.0,343,1.0,,,,,
F,ACTIVO,0.995767,9.595331,2.94086,0.0,344,0.0,,,,,
M,INACTIVO,0.770109,8.32135,3.659091,0.0,345,0.0,,,,,
M,ACTIVO,0.989596,10.570056,3.450102,0.0,346,0.0,,,,,
F,INACTIVO,0.979206,3.505296,2.84438,0.0,347,1.0,,,,,
M,INACTIVO,0.998934,16.793499,4.187952,0.0,348,1.0,,,,,
F,ACTIVO,0.889993,12.712317,4.400763,0.0,349,0.0,,,,,
M,ACTIVO,0.972024,9.434115,3.534562,0.0,350,0.0,,,,,
F,ACTIVO,0.874543,9.912336,2.807692,0.0,351,0.0,,,,,
F,INACTIVO,0.363636,2.002513,4.625,576.478261,352,1.0,,,,,
M,ACTIVO,0.977393,5.801452,4.207547,0.0,353,0.0,,,,,
F,INACTIVO,0.435856,3.935651,4.033333,461.686567,354,1.0,,,,,
M,ACTIVO,0.792556,2.636685,4.257261,588.52766,355,0.0,,,,,
F,ACTIVO,0.994677,9.061466,3.943038,0.0,356,0.0,,,,,
F,ACTIVO,0.988624,8.125519,3.157143,0.0,357,0.0,,,,,
F,ACTIVO,0.996695,13.192068,3.080357,0.0,358,0.0,,,,,
F,ACTIVO,0.999608,10.321151,3.767442,0.0,359,0.0,,,,,
F,ACTIVO,0.837915,1.870844,4.147287,648.649682,360,0.0,,,,,
F,ACTIVO,0.952467,8.832659,3.559471,0.0,361,0.0,,,,,
M,ACTIVO,0.945925,8.435348,3.570732,0.0,362,0.0,,,,,
M,ACTIVO,0.0,0.774535,0.0,0.0,363,1.0,,,,,
F,ACTIVO,0.886339,11.990943,3.352941,0.0,364,0.0,,,,,
F,ACTIVO,0.967108,8.696817,3.255708,0.0,365,0.0,,,,,
M,INACTIVO,0.678219,3.058679,4.52381,0.0,366,1.0,,,,,
M,ACTIVO,0.994402,13.171019,3.358065,0.0,367,0.0,,,,,
M,INACTIVO,0.831424,3.507576,4.0,488.078947,368,1.0,,,,,
F,INACTIVO,0.673519,2.475248,4.4,402.363636,369,0.0,,,,,
M,ACTIVO,0.999632,9.516226,3.984,0.0,370,0.0,,,,,
F,INACTIVO,0.797993,3.459993,4.403727,399.942771,371,1.0,,,,,
F,INACTIVO,0.49412,9.598348,4.294118,0.0,372,0.0,,,,,
M,ACTIVO,0.553359,1.747718,4.157895,503.5,373,0.0,,,,,
M,ACTIVO,0.999417,10.89527,3.450549,0.0,374,0.0,,,,,
M,ACTIVO,0.997807,12.51307,4.148148,0.0,375,0.0,27.0,33.0,32.0,25.0,33.0
M,INACTIVO,0.428571,7.645395,4.0,0.0,376,1.0,,,,,
F,ACTIVO,0.968311,62.71006,3.245902,0.0,377,0.0,,,,,
M,ACTIVO,0.990407,11.424773,3.260465,0.0,378,0.0,,,,,
F,INACTIVO,0.857083,2.626777,4.419355,377.945736,379,1.0,,,,,
F,INACTIVO,1.0,1.522843,3.0,622.0,380,1.0,,,,,
M,ACTIVO,0.905568,2.438595,4.202765,393.691824,381,0.0,,,,,
F,INACTIVO,0.355278,2.390464,2.0,710.25,382,1.0,,,,,
F,INACTIVO,0.750509,3.510965,4.375,590.137931,383,0.0,,,,,
M,INACTIVO,0.947516,13.023486,3.63466,0.0,384,1.0,,,,,
M,ACTIVO,0.988742,11.736876,2.890909,0.0,385,0.0,,,,,
F,INACTIVO,0.734671,0.0,4.111111,0.0,386,1.0,,,,,
M,INACTIVO,0.957963,2.559064,4.285714,654.311688,387,1.0,,,,,
M,INACTIVO,0.830718,7.717294,4.466667,0.0,388,0.0,,,,,
F,INACTIVO,0.75433,10.77557,3.071429,0.0,389,1.0,,,,,
M,INACTIVO,0.766797,14.874535,2.625,0.0,390,0.0,,,,,
M,ACTIVO,0.998939,13.070134,3.04,0.0,391,0.0,,,,,
F,ACTIVO,0.990669,9.605911,3.727273,0.0,392,0.0,29.0,38.0,34.0,35.0,42.0
M,ACTIVO,0.0,5.356531,0.0,0.0,393,1.0,0.0,0.0,4.0,0.0,0.0
F,ACTIVO,0.97608,10.342369,3.414286,0.0,394,0.0,35.0,43.0,40.0,38.0,37.0
F,ACTIVO,0.993275,8.086258,3.232975,0.0,395,0.0,39.0,46.0,49.0,35.0,46.0
M,ACTIVO,0.856217,5.954942,3.902778,0.0,396,0.0,,,,,
F,ACTIVO,0.0625,17.480121,4.714286,0.0,397,0.0,,,,,
M,INACTIVO,0.556852,12.407644,3.533333,0.0,398,1.0,,,,,
M,INACTIVO,0.987929,7.722166,4.8,0.0,399,1.0,,,,,
F,ACTIVO,0.880327,9.221422,3.468966,0.0,400,0.0,,,,,
F,ACTIVO,0.99853,8.783809,3.36,0.0,401,0.0,,,,,
F,ACTIVO,0.932021,11.454074,4.257948,0.0,402,0.0,,,,,
M,ACTIVO,0.97603,1.810555,4.465608,388.437942,403,0.0,33.0,37.0,35.0,36.0,37.0
F,ACTIVO,0.922059,8.361769,3.618267,0.0,404,0.0,,,,,
M,ACTIVO,0.972949,18.74433,3.280947,0.0,405,0.0,,,,,
F,ACTIVO,0.678019,8.158709,2.415094,0.0,406,0.0,,,,,
M,ACTIVO,0.0,0.075976,0.0,0.0,407,1.0,36.0,43.0,45.0,39.0,39.0
M,INACTIVO,0.277006,15.714947,4.6,0.0,408,1.0,,,,,
F,ACTIVO,0.99903,4.565574,3.313953,0.0,409,0.0,,,,,
M,ACTIVO,0.994923,3.789629,3.386364,0.0,410,0.0,31.0,40.0,42.0,29.0,37.0
F,ACTIVO,0.999172,4.030881,3.715909,0.0,411,0.0,34.0,46.0,42.0,37.0,39.0
F,ACTIVO,0.999334,2.722584,2.972973,0.0,412,0.0,,,,,
F,ACTIVO,0.992709,4.666665,3.318182,0.0,413,0.0,,,,,
F,ACTIVO,0.912185,3.492765,3.576923,0.0,414,0.0,34.0,46.0,44.0,35.0,38.0
F,INACTIVO,0.098611,0.0,0.0,304.0,415,1.0,,,,,
F,INACTIVO,0.946894,3.514242,3.16,0.0,416,0.0,,,,,
F,ACTIVO,0.99828,4.668417,3.833333,0.0,417,0.0,41.0,43.0,50.0,40.0,44.0
M,ACTIVO,0.91839,2.09077,4.061069,575.694158,418,1.0,37.0,46.0,42.0,38.0,37.0
F,INACTIVO,0.759648,3.944086,2.953488,0.0,419,0.0,,,,,
M,INACTIVO,0.973392,5.191029,3.425,0.0,420,1.0,,,,,
F,INACTIVO,0.701993,2.422746,4.229885,514.048649,421,0.0,,,,,
F,ACTIVO,0.982863,4.098521,3.512195,0.0,422,0.0,30.0,46.0,44.0,37.0,35.0
F,INACTIVO,0.164278,3.658537,3.0,290.888889,423,0.0,,,,,
M,ACTIVO,0.759876,11.898644,4.435567,0.0,424,0.0,,,,,
M,INACTIVO,0.998775,0.0,5.0,0.0,425,1.0,,,,,
M,ACTIVO,0.715605,2.592462,4.307018,629.884259,426,1.0,,,,,
F,ACTIVO,0.995644,4.826677,3.431579,0.0,427,0.0,29.0,46.0,47.0,31.0,44.0
M,INACTIVO,0.902658,6.410716,4.435171,0.0,428,0.0,,,,,
F,INACTIVO,0.976923,2.331351,3.625,443.84,429,1.0,,,,,
F,INACTIVO,0.400249,13.80433,4.30597,0.0,430,1.0,,,,,
M,ACTIVO,0.955607,3.13043,4.414634,614.769912,431,1.0,,,,,
F,ACTIVO,0.853827,2.519774,4.191011,518.93956,432,1.0,,,,,
M,ACTIVO,0.983451,7.455161,4.305927,0.0,433,0.0,,,,,
F,ACTIVO,0.99761,15.090609,3.220544,0.0,434,0.0,34.0,47.0,42.0,39.0,45.0
M,INACTIVO,0.742994,5.958134,4.133333,0.0,435,0.0,,,,,
F,ACTIVO,0.994097,3.63883,3.446043,0.0,436,0.0,,,,,
M,ACTIVO,0.937669,2.016736,4.321678,347.700306,437,0.0,,,,,
F,INACTIVO,0.867244,3.073711,3.769231,479.855263,438,1.0,,,,,
F,ACTIVO,0.935262,1.329366,4.072727,912.703704,439,1.0,,,,,
M,INACTIVO,0.055556,0.0,0.0,684.0,440,0.0,,,,,
F,ACTIVO,0.848037,13.414711,4.329167,0.0,441,0.0,,,,,
F,ACTIVO,0.802425,10.228767,4.186301,0.0,442,1.0,,,,,
F,INACTIVO,0.99607,1.506666,3.428571,0.0,443,1.0,,,,,
M,INACTIVO,0.763889,1.01126,1.0,0.0,444,0.0,,,,,
M,INACTIVO,0.266593,4.710744,5.0,0.0,445,1.0,,,,,
F,ACTIVO,0.996795,3.990772,3.321101,0.0,446,0.0,35.0,42.0,43.0,38.0,41.0
M,ACTIVO,0.0,52.587295,0.0,0.0,447,1.0,,,,,
M,INACTIVO,0.710177,2.49128,3.7,0.0,448,0.0,,,,,
F,ACTIVO,0.957879,4.496553,4.188679,0.0,449,0.0,32.0,43.0,44.0,36.0,43.0
M,ACTIVO,0.90265,1.617466,2.333333,0.0,450,0.0,,,,,
F,ACTIVO,0.816382,7.317221,4.222222,479.99495,451,1.0,,,,,
M,INACTIVO,0.944946,1.067641,3.738095,1008.178082,452,1.0,,,,,
F,INACTIVO,0.325833,1.538462,2.0,654.0,453,1.0,,,,,
M,INACTIVO,0.753611,0.0,2.333333,0.0,454,1.0,,,,,
F,ACTIVO,0.981259,4.424274,3.821138,0.0,455,0.0,39.0,38.0,44.0,34.0,42.0
M,INACTIVO,0.978576,2.160309,3.857143,0.0,456,0.0,,,,,
M,ACTIVO,0.857778,1.602466,4.191781,848.494186,457,1.0,,,,,
F,ACTIVO,0.90226,2.313323,4.036585,438.584239,458,0.0,31.0,36.0,38.0,29.0,35.0
F,INACTIVO,0.96625,12.607303,4.230769,0.0,459,0.0,,,,,
F,ACTIVO,0.997884,4.717276,3.496296,0.0,460,0.0,34.0,42.0,42.0,38.0,38.0
M,ACTIVO,0.99605,2.705728,3.623188,0.0,461,0.0,28.0,38.0,42.0,37.0,36.0
F,INACTIVO,0.769306,2.597403,3.25,801.875,462,0.0,,,,,
F,ACTIVO,0.907161,2.577899,4.617284,619.214286,463,1.0,29.0,45.0,45.0,38.0,35.0
M,INACTIVO,0.892515,2.486872,4.186047,631.787149,464,1.0,,,,,
F,ACTIVO,0.999155,3.213903,3.28,0.0,465,0.0,37.0,43.0,47.0,37.0,37.0
M,ACTIVO,0.807514,2.974538,4.142857,444.366516,466,1.0,,,,,
M,INACTIVO,0.8282,1.168871,4.0,716.322222,467,1.0,,,,,
M,ACTIVO,0.0,5.139195,0.0,0.0,468,1.0,32.0,46.0,43.0,40.0,43.0
M,ACTIVO,0.953064,3.381897,3.769231,0.0,469,0.0,,,,,
F,ACTIVO,0.797692,2.074615,4.475,764.754601,470,1.0,,,,,
F,INACTIVO,0.495299,2.334133,4.6,462.0,471,0.0,,,,,
M,INACTIVO,0.927315,1.789665,3.5,1037.642857,472,0.0,,,,,
M,ACTIVO,0.911299,2.113576,4.125984,606.199288,473,1.0,,,,,
F,ACTIVO,0.782397,2.134418,4.308824,490.308108,474,0.0,,,,,
F,ACTIVO,0.991082,4.13543,3.188889,0.0,475,0.0,,,,,
M,ACTIVO,0.985833,3.9097,4.359375,0.0,476,0.0,,,,,
M,ACTIVO,0.985552,2.776332,3.241379,0.0,477,0.0,,,,,
F,INACTIVO,0.757753,1.64606,3.736842,0.0,478,1.0,,,,,
F,ACTIVO,0.947598,2.994289,2.869565,0.0,479,0.0,,,,,
M,ACTIVO,0.95363,4.36075,3.115385,0.0,480,0.0,24.0,39.0,34.0,34.0,43.0
M,INACTIVO,0.335268,11.812579,4.245098,0.0,481,1.0,,,,,
M,INACTIVO,0.799778,18.681159,4.297578,0.0,482,1.0,,,,,
F,ACTIVO,0.911817,11.819416,4.269819,0.0,483,0.0,,,,,
F,ACTIVO,0.936206,2.3006,4.482759,688.061798,484,1.0,,,,,
M,ACTIVO,0.902832,2.701942,4.58042,500.904762,485,1.0,,,,,
F,INACTIVO,0.522365,2.462769,3.72619,546.060109,486,1.0,,,,,
F,ACTIVO,0.98194,3.902549,3.296296,0.0,487,0.0,,,,,
F,ACTIVO,0.989834,2.639439,3.326087,0.0,488,0.0,,,,,
M,INACTIVO,0.820053,2.36154,4.5,492.2375,489,0.0,,,,,
M,ACTIVO,0.879563,3.265467,3.391304,0.0,490,0.0,,,,,
M,INACTIVO,0.997192,3.930201,4.653846,0.0,491,1.0,,,,,
F,INACTIVO,0.971528,0.0,3.0,0.0,492,1.0,,,,,
M,ACTIVO,0.989782,5.063205,3.929412,0.0,493,0.0,31.0,40.0,31.0,32.0,44.0
F,ACTIVO,0.903121,1.851898,4.102564,627.797235,494,1.0,,,,,
M,INACTIVO,0.920635,2.824074,3.823529,653.137931,495,1.0,,,,,
M,INACTIVO,0.636111,4.563731,4.129032,666.5,496,1.0,,,,,
F,ACTIVO,0.91529,4.464194,2.4,0.0,497,0.0,31.0,45.0,41.0,36.0,39.0
F,ACTIVO,0.99805,4.757504,3.677686,0.0,498,0.0,,,,,
M,INACTIVO,0.944105,1.195425,4.666667,0.0,499,1.0,,,,,
M,ACTIVO,0.991235,4.137561,4.44086,0.0,500,0.0,,,,,
F,INACTIVO,0.907033,11.016486,2.83737,0.0,501,0.0,,,,,
M,INACTIVO,0.374444,3.515152,3.545455,420.590909,502,1.0,,,,,
M,INACTIVO,0.458853,3.841854,4.082192,439.891566,503,0.0,,,,,
F,ACTIVO,0.998549,4.293099,3.661017,0.0,504,0.0,32.0,41.0,42.0,30.0,35.0
F,INACTIVO,0.520962,3.254149,4.6,0.0,505,1.0,,,,,
F,ACTIVO,0.876832,2.179542,4.212766,323.472441,506,0.0,,,,,
F,ACTIVO,0.944341,3.022898,3.4,0.0,507,0.0,,,,,
F,INACTIVO,0.431786,5.672378,4.636364,0.0,508,0.0,,,,,
F,ACTIVO,0.911532,4.331804,3.229167,0.0,509,0.0,,,,,
F,ACTIVO,0.674868,14.774254,4.327314,0.0,510,0.0,,,,,
M,INACTIVO,0.791543,2.72682,2.285714,0.0,511,0.0,,,,,
M,ACTIVO,0.934489,3.303669,3.575,0.0,512,0.0,,,,,
M,INACTIVO,0.956179,15.034066,4.283898,0.0,513,0.0,,,,,
M,ACTIVO,0.994908,2.99652,3.145833,0.0,514,0.0,,,,,
F,INACTIVO,0.683655,1.31401,3.333333,0.0,515,1.0,,,,,
F,INACTIVO,0.788588,9.106217,4.146825,0.0,516,0.0,,,,,
M,INACTIVO,0.333333,3.26087,4.0,692.2,517,1.0,,,,,
M,INACTIVO,0.288708,2.911118,4.5,0.0,518,0.0,,,,,
F,INACTIVO,0.640691,17.159855,4.407216,0.0,519,1.0,,,,,
M,INACTIVO,0.285655,3.405432,4.294118,474.45055,520,0.0,,,,,
M,ACTIVO,0.915379,2.939328,4.36,535.130435,521,0.0,,,,,
M,ACTIVO,0.976428,9.335301,4.013699,0.0,522,0.0,39.0,49.0,50.0,44.0,48.0
M,INACTIVO,0.858941,2.868892,4.15625,0.0,523,1.0,,,,,
F,INACTIVO,0.903212,2.402384,4.114286,556.790909,524,1.0,,,,,
F,ACTIVO,0.987493,5.687244,4.119403,0.0,525,0.0,,,,,
M,ACTIVO,0.884326,2.828596,4.347619,359.227273,526,0.0,,,,,
F,ACTIVO,0.921547,12.573159,4.218447,0.0,527,0.0,,,,,
M,ACTIVO,0.988099,4.316672,3.2,0.0,528,0.0,39.0,49.0,50.0,43.0,48.0
F,INACTIVO,0.60032,1.625126,3.75,0.0,529,1.0,,,,,
M,INACTIVO,0.499167,4.159441,3.4,0.0,530,0.0,,,,,
