email_identifier,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
458,31,36,38,29,35
648,32,32,48,36,36
649,39,50,49,42,47
460,34,42,42,38,38
650,34,44,43,38,41
651,30,39,42,37,37
652,37,38,45,46,40
653,34,45,46,45,40
654,39,47,36,37,43
655,36,41,38,33,38
656,30,41,45,37,39
504,32,41,42,30,35
657,33,46,49,33,45
658,28,41,46,33,39
659,35,39,48,43,38
54,8,0,6,5,5
660,23,41,37,40,42
661,39,43,44,36,37
340,32,43,40,38,42
662,31,41,48,35,41
663,38,38,41,33,41
664,31,41,38,37,37
665,32,43,44,34,34
666,41,43,48,44,45
667,32,40,44,38,37
668,43,48,46,38,47
669,29,50,43,27,42
670,30,41,47,40,40
671,33,48,43,35,36
672,31,41,42,38,37
673,28,40,41,32,38
674,30,41,44,42,40
675,36,43,41,33,38
676,41,36,36,30,37
276,34,43,35,39,37
677,35,43,48,44,38
678,33,36,47,38,36
679,39,42,45,37,43
680,24,39,27,29,31
337,41,43,46,33,44
681,34,39,40,34,37
682,40,41,42,26,36
683,28,41,34,35,39
684,34,39,47,32,39
685,33,44,43,39,35
39,41,46,48,40,43
686,35,42,47,46,42
687,31,41,43,35,39
688,34,38,48,39,46
125,30,40,38,29,33
689,22,33,31,37,33
578,42,44,45,40,43
155,28,42,48,43,41
643,34,36,43,33,39
568,43,50,50,44,47
690,32,48,45,41,41
691,42,37,42,38,44
692,40,47,45,42,49
693,32,47,45,42,38
694,33,45,35,37,40
695,36,48,47,35,45
547,32,46,43,46,40
696,36,45,45,43,42
697,38,49,50,40,46
463,29,45,45,38,35
698,35,44,45,28,43
699,35,43,46,39,42
700,0,0,4,0,0
701,32,50,46,41,45
418,37,46,42,38,37
702,37,47,47,42,44
703,38,49,48,43,43
395,39,46,49,35,46
704,38,46,49,43,41
705,33,41,39,37,36
375,27,33,32,25,33
282,36,47,42,40,42
706,32,39,37,36,37
707,39,46,46,37,42
708,33,43,40,30,36
709,35,40,42,38,40
710,33,42,34,32,37
711,1,0,0,3,0
427,29,46,47,31,44
20,33,47,41,34,36
712,42,48,50,46,45
713,34,44,41,38,40
714,31,49,47,40,35
715,34,38,41,36,37
716,32,37,38,36,33
393,0,0,4,0,0
717,34,43,46,41,44
414,34,46,44,35,38
718,35,37,42,39,35
719,26,35,38,37,38
720,34,37,38,30,37
721,42,50,50,50,50
210,29,37,38,36,36
722,37,47,43,42,42
723,37,43,44,39,44
724,37,36,40,33,41
417,41,43,50,40,44
632,39,37,49,42,40
725,39,40,50,46,38
726,31,49,49,42,48
727,47,44,48,38,44
728,42,47,50,38,43
729,38,50,49,48,48
730,37,45,46,36,45
731,29,41,39,35,36
732,37,40,41,35,38
733,0,0,4,0,0
734,29,41,45,39,36
735,36,37,45,39,35
736,31,32,33,30,38
612,26,45,41,38,41
737,37,39,45,31,39
738,26,45,42,31,36
739,37,46,44,39,42
740,32,39,41,41,33
220,33,36,37,35,34
741,36,49,47,39,44
742,32,38,37,29,33
743,31,40,35,29,36
744,40,50,47,41,39
745,33,46,47,39,42
180,36,47,47,42,41
746,38,48,45,37,44
747,39,50,49,44,46
748,33,41,43,44,39
749,34,43,41,34,39
179,27,40,38,40,35
750,32,43,40,35,35
259,41,50,46,33,44
751,36,34,37,34,33
752,33,36,40,42,42
753,22,38,37,31,27
754,29,50,44,42,41
755,35,48,50,43,46
756,36,40,40,37,40
757,34,43,45,37,37
758,34,44,41,38,44
759,31,43,39,33,31
163,35,42,42,37,40
760,46,42,34,23,40
174,36,39,49,44,42
493,31,40,31,32,44
200,30,39,44,33,37
761,26,39,34,36,44
762,38,43,50,44,43
763,34,42,47,43,43
764,36,42,36,45,41
765,36,43,45,35,44
766,35,38,39,36,36
193,32,37,35,32,32
767,34,42,48,35,41
768,39,44,43,41,41
769,39,47,42,27,41
770,36,41,40,36,37
555,33,35,38,37,37
771,37,38,46,37,43
772,37,44,48,43,42
773,36,44,43,33,40
774,36,47,45,40,44
775,2,0,0,0,0
776,31,40,37,34,38
315,36,50,43,35,40
777,30,42,45,37,32
410,31,40,42,29,37
307,24,34,34,31,33
778,37,48,45,41,37
633,38,42,44,35,39
779,26,42,36,37,38
780,25,38,32,36,34
403,33,37,35,36,37
781,32,42,40,37,41
422,30,46,44,37,35
782,22,29,35,27,35
783,42,50,48,42,43
784,33,45,40,38,40
785,32,49,47,44,41
279,33,44,43,39,38
786,21,23,36,39,30
434,34,47,42,39,45
194,36,45,48,35,41
787,31,44,43,39,38
392,29,38,34,35,42
788,37,43,37,28,40
789,50,50,46,46,42
790,28,39,42,36,36
791,37,40,41,32,45
792,41,39,40,36,39
793,39,46,42,39,38
219,36,41,37,35,38
794,29,41,42,37,45
795,31,40,40,36,39
796,40,44,40,39,40
241,41,49,43,43,46
455,39,38,44,34,42
797,0,0,0,0,3
798,31,32,30,30,32
799,40,42,45,41,36
201,27,39,42,41,42
269,38,43,48,36,42
446,35,42,43,38,41
800,26,41,39,32,41
801,6,19,28,7,12
802,34,38,40,37,37
803,28,36,47,26,39
804,32,41,39,40,41
805,34,45,49,38,47
806,23,43,44,26,39
807,36,35,43,34,39
181,34,38,31,36,35
808,38,45,43,34,42
809,30,38,41,33,40
810,39,46,37,27,37
811,36,38,38,37,37
213,24,44,37,32,38
812,32,41,38,33,35
813,30,46,41,44,35
814,26,40,45,35,38
815,32,41,46,40,43
286,33,48,44,40,43
816,34,43,44,41,39
577,34,40,38,31,37
817,41,48,50,43,47
818,35,41,40,34,40
819,31,39,45,45,42
468,32,46,43,40,43
820,32,38,44,38,41
821,16,13,12,25,22
822,38,37,46,48,40
823,32,45,50,38,40
824,40,49,48,39,45
825,35,47,48,37,44
639,34,43,43,37,40
826,34,39,42,37,37
261,32,35,49,46,43
625,35,41,33,34,41
827,31,41,32,27,44
185,32,31,37,29,42
828,30,37,39,31,37
465,37,43,47,37,37
311,3,17,9,12,11
124,33,46,39,34,46
829,37,46,44,38,43
830,35,44,46,38,46
89,29,44,48,41,44
497,31,45,41,36,39
449,32,43,44,36,43
411,34,46,42,37,39
831,41,34,19,36,31
832,37,38,41,38,46
833,41,50,49,43,44
588,39,50,48,35,46
834,34,45,49,42,43
835,34,40,41,29,39
836,33,42,40,37,36
837,31,38,47,32,38
838,38,41,50,40,42
839,35,42,45,34,42
840,34,49,49,45,43
841,25,37,40,39,42
842,34,40,45,45,44
480,24,39,34,34,43
590,29,33,41,42,38
843,34,46,43,41,36
844,27,39,42,37,42
845,39,49,47,40,42
846,42,45,46,41,42
847,26,35,37,33,38
848,36,40,23,29,43
594,38,43,47,40,45
849,27,34,46,41,35
850,26,43,39,41,38
851,22,36,42,25,34
852,45,45,40,34,42
642,31,41,41,31,40
853,37,45,47,36,43
854,10,4,0,3,15
855,26,44,46,29,41
461,28,38,42,37,36
856,35,43,46,27,46
394,35,43,40,38,37
857,29,50,44,29,44
148,36,42,45,43,41
858,32,41,45,45,35
859,33,37,35,33,37
860,32,43,41,37,39
861,40,50,50,42,48
67,26,41,38,34,37
862,33,48,46,36,42
863,33,39,39,38,40
864,32,45,43,38,41
407,36,43,45,39,39
865,31,44,45,38,45
866,30,42,39,38,40
867,27,45,46,42,41
146,34,47,49,40,42
868,39,44,39,38,39
869,32,49,47,44,37
192,22,35,34,25,31
870,31,42,40,36,37
871,38,48,48,44,40
872,34,44,42,38,38
873,38,46,45,43,44
874,41,46,49,45,45
875,35,43,47,42,37
876,34,46,40,38,32
877,37,42,41,38,39
878,28,45,46,35,40
879,25,38,41,29,36
880,31,38,43,35,40
881,37,48,50,43,48
882,31,44,47,33,47
883,34,38,40,36,38
884,32,47,50,37,43
522,39,49,50,44,48
885,38,43,41,37,41
886,33,46,46,43,44
887,34,42,39,34,33
313,30,50,50,21,44
528,39,49,50,43,48
888,36,43,39,40,43
889,30,38,41,38,41
890,35,49,50,44,47
891,28,43,44,33,34
